Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),AF Sens 3 Volts (V),Accel Position (%),Baro Pressure (psi),Boost (psi),Calculated Load (g/rev),Clutch Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv Lrn (°),Feedback Knock (°),Fine Knock Learn (°),Fuel Economy (mpg),Fuel Pump Duty (%),Gear Position (Gear),Idle Airflow (g/s),Idle Spd Target (RPM),Idle Speed Error (RPM),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF (g/s),MAF Volts (V),Man Abs Press (psi),RPM (RPM),RPM Delta (RPM),Req Torque (Nm),SI Drive Mode (raw),TD Boost Error (psi),Target Boost Final Rel SL (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-003 v1.7.4.1-17436][2014 USDM Impreza WRX STI COBB Custom Features][Reflash: Mehtaab 2014 STI AP base map.ptm - Realtime: Mehtaab 2014 STI AP base map.ptm]
0.000,-14.06,0.00,0.00,14.59,0.38,0.0,14.36,-8.62,0.38,on,14.58,192,1.000,10.00,0.00,0.00,0.0,100.0,0,5.83,800,16,14.00,1.57,120,5.17,1.40,5.76,818,-1,0.00,3,9.17,0.23,4.7,0,0.00,0
0.151,-14.06,0.00,0.00,14.59,0.38,0.0,14.36,-8.60,0.38,on,14.58,192,1.000,10.00,0.00,0.00,0.0,100.0,0,5.82,800,33,14.00,1.59,120,5.24,1.40,5.74,833,1,0.00,3,9.19,0.23,4.7,0,0.00,0
0.324,-14.06,0.00,0.00,14.70,0.39,0.0,14.36,-8.67,0.38,on,14.58,192,1.000,10.00,0.00,0.00,0.0,100.0,0,5.83,800,32,13.50,1.61,120,5.25,1.42,5.70,832,-1,0.00,3,9.22,0.23,4.7,0,0.00,0
0.508,-14.06,0.00,0.00,14.59,0.39,0.0,14.36,-8.69,0.38,on,14.58,192,1.000,10.00,0.00,0.00,0.0,100.0,0,5.82,800,32,14.00,1.59,120,5.24,1.46,5.70,836,2,0.00,3,9.23,0.23,4.7,0,0.00,0
0.680,-14.06,0.00,0.00,14.59,0.39,0.0,14.36,-8.69,0.37,on,14.58,192,1.000,10.00,0.00,0.00,0.0,100.0,1,5.82,800,33,14.00,1.60,120,5.21,1.44,5.70,833,-5,0.00,3,9.23,0.23,4.7,0,0.00,0
0.855,-14.06,0.00,0.00,14.59,0.40,0.0,14.36,-8.69,0.38,on,14.58,192,1.000,10.00,0.00,0.00,0.0,100.0,1,5.82,800,25,14.50,1.59,120,5.18,1.44,5.70,828,5,0.00,3,9.23,0.23,4.7,0,0.00,0
1.034,-14.06,0.00,0.00,14.59,0.40,0.0,14.36,-8.69,0.38,on,14.58,192,1.000,10.00,0.00,0.00,0.0,100.0,1,5.90,800,18,14.00,1.55,120,5.22,1.42,5.70,809,-4,0.00,3,9.23,0.23,4.7,0,0.00,0
1.226,-14.06,0.00,0.00,14.59,0.40,0.0,14.36,-8.64,0.38,on,14.58,192,1.000,10.00,0.00,0.00,0.0,100.0,1,5.80,800,8,15.50,1.55,120,5.07,1.40,5.76,807,-1,0.00,3,9.19,0.23,4.7,0,0.00,0
1.393,-14.06,0.00,0.00,14.59,0.41,0.0,14.36,-8.59,0.38,on,14.58,192,1.000,10.00,0.00,0.00,0.0,100.0,1,5.83,800,13,15.50,1.57,120,5.16,1.40,5.78,816,1,0.00,3,9.14,0.23,4.7,0,0.00,0
1.563,-14.06,0.00,0.00,14.59,0.41,0.0,14.36,-8.57,0.38,on,14.58,192,1.000,10.00,0.00,0.00,0.0,100.0,1,5.82,800,12,14.00,1.75,120,5.20,1.44,5.84,813,-1,0.00,3,9.09,0.23,4.7,0,0.00,0
1.744,-14.06,0.00,0.00,14.59,0.41,0.0,14.36,-8.56,0.39,on,14.58,192,1.000,10.00,0.00,0.00,0.0,100.0,1,5.81,800,21,14.00,1.75,120,5.24,1.44,5.82,820,3,0.00,3,9.10,0.23,4.7,0,0.00,0
1.928,-14.06,0.00,0.00,14.59,0.41,0.0,14.36,-8.59,0.38,on,14.58,192,1.000,10.00,0.00,0.00,0.0,100.0,1,5.82,800,27,13.50,1.60,120,5.28,1.44,5.78,833,3,0.00,3,9.15,0.23,4.7,0,0.00,0
2.098,-14.06,0.00,0.00,14.59,0.41,0.0,14.36,-8.62,0.39,on,14.58,192,1.000,10.00,0.00,0.00,0.0,100.0,1,5.82,800,19,13.50,1.57,120,5.27,1.40,5.76,817,-2,0.00,3,9.17,0.23,4.7,0,0.00,0
2.274,-14.06,0.00,0.00,14.59,0.41,0.0,14.36,-8.59,0.38,on,14.58,192,1.000,10.00,0.00,0.00,0.0,100.0,1,5.80,800,21,14.50,1.59,120,5.21,1.40,5.74,829,4,0.00,3,9.19,0.23,4.7,0,0.00,0
2.449,-14.06,0.00,0.00,14.59,0.42,0.0,14.36,-8.63,0.38,on,14.58,192,1.000,10.00,0.00,0.00,0.0,100.0,1,5.84,800,14,14.00,1.56,120,5.22,1.38,5.76,812,-2,0.00,3,9.16,0.23,4.7,0,0.00,0
